name,version,type,purl,licenses
"1to2","1.0.0","library","pkg:npm/1to2@1.0.0","MIT"
"@babel/parser","7.18.13","library","pkg:npm/%40babel/parser@7.18.13","MIT"
"@google-cloud/common","5.0.2","library","pkg:npm/%40google-cloud/common@5.0.2","Apache-2.0"
"@google-cloud/logging-min","11.2.0","library","pkg:npm/%40google-cloud/logging-min@11.2.0","Apache-2.0"
"@google-cloud/paginator","5.0.2","library","pkg:npm/%40google-cloud/paginator@5.0.2","Apache-2.0"
"@google-cloud/profiler","6.0.2","library","pkg:npm/%40google-cloud/profiler@6.0.2","Apache-2.0"
"@google-cloud/projectify","4.0.0","library","pkg:npm/%40google-cloud/projectify@4.0.0","Apache-2.0"
"@google-cloud/promisify","4.0.0","library","pkg:npm/%40google-cloud/promisify@4.0.0","Apache-2.0"
"@grpc/grpc-js","1.13.1","library","pkg:npm/%40grpc/grpc-js@1.13.1","Apache-2.0"
"@grpc/proto-loader","0.6.13","library","pkg:npm/%40grpc/proto-loader@0.6.13","Apache-2.0"
"@grpc/proto-loader","0.7.13","library","pkg:npm/%40grpc/proto-loader@0.7.13","Apache-2.0"
"@js-sdsl/ordered-map","4.4.2","library","pkg:npm/%40js-sdsl/ordered-map@4.4.2","MIT"
"@mapbox/node-pre-gyp","1.0.10","library","pkg:npm/%40mapbox/node-pre-gyp@1.0.10","BSD-3-Clause"
"@my-scope/package-a","0.0.0","library","pkg:npm/%40my-scope/package-a@0.0.0","MIT"
"@my-scope/package-b","0.0.0","library","pkg:npm/%40my-scope/package-b@0.0.0","MIT"
"@opentelemetry/api","1.9.0","library","pkg:npm/%40opentelemetry/api@1.9.0","Apache-2.0"
"@opentelemetry/api-logs","0.200.0","library","pkg:npm/%40opentelemetry/api-logs@0.200.0","Apache-2.0"
"@opentelemetry/api-metrics","0.26.0","library","pkg:npm/%40opentelemetry/api-metrics@0.26.0","Apache-2.0"
"@opentelemetry/context-async-hooks","2.0.0","library","pkg:npm/%40opentelemetry/context-async-hooks@2.0.0","Apache-2.0"
"@opentelemetry/core","1.0.0","library","pkg:npm/%40opentelemetry/core@1.0.0","Apache-2.0"
"@opentelemetry/core","1.30.1","library","pkg:npm/%40opentelemetry/core@1.30.1","Apache-2.0"
"@opentelemetry/core","1.30.1","library","pkg:npm/%40opentelemetry/core@1.30.1","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
"@opentelemetry/core","2.0.0","library","pkg:npm/%40opentelemetry/core@2.0.0","Apache-2.0"
